Time, s;Throttle, %;Current, A;Battery voltage, V;Power consumption, A*h;CPU/MOSFET temperature, *C;Output power, %;Phase current, A;BEC voltage, V;Electrical power, W;Motor RPM;Errors
144,0;0,0;0,3;0,2;0,011;28 (TMSF);0,0;0,3;0,0;0,1;0;THRT
145,1;0,0;0,3;0,2;0,011;28 (TMSF);0,0;0,3;0,0;0,1;0;THRT
146,2;0,0;0,3;0,2;0,011;28 (TMSF);0,0;0,3;0,0;0,1;0;THRT
147,3;0,0;0,3;0,2;0,011;28 (TMSF);0,0;0,3;0,0;0,1;0;THRT
148,4;0,0;0,3;0,2;0,011;28 (TMSF);0,0;0,3;0,0;0,1;0;THRT
149,6;0,0;0,2;0,2;0,011;28 (TMSF);0,0;0,2;0,0;0,0;0;THRT
ESC RESET;--;--;--;SN: 0x220004cb;BL: 25;FW: 16;--;--;--;--;OK
152,4;0,0;0,2;20,5;0,000;28 (TMSF);0,0;0,2;0,0;4,1;0;THRT
154,7;0,0;0,3;20,5;0,000;28 (TMSF);0,0;0,3;0,0;6,2;0;THRT
155,8;0,0;0,2;20,5;0,000;28 (TMSF);0,0;0,2;0,0;4,1;0;--
158,7;0,0;0,1;20,5;0,000;28 (TMSF);0,0;0,1;0,0;2,1;0;--
159,9;0,0;0,2;20,5;0,000;28 (TMSF);0,0;0,2;0,0;4,1;0;--
162,4;0,0;0,1;20,5;0,000;28 (TMSF);0,0;0,1;0,0;2,1;0;--
163,5;0,0;0,2;20,5;0,000;28 (TMSF);0,0;0,2;0,0;4,1;0;--
164,6;0,0;0,2;20,5;0,000;28 (TMSF);0,0;0,2;0,0;4,1;0;--
165,7;0,0;0,1;20,5;0,000;28 (TMSF);0,0;0,1;0,0;2,1;0;--
166,9;0,0;0,1;20,5;0,000;28 (TMSF);0,0;0,1;0,0;2,1;0;--
168,0;0,0;0,2;20,5;0,001;28 (TMSF);0,0;0,2;0,0;4,1;0;--
169,1;0,0;0,2;20,5;0,001;28 (TMSF);0,0;0,2;0,0;4,1;0;--
169,4;2,5;0,2;20,5;0,001;28 (TMSF);0,0;0,2;0,0;4,1;0;--
169,9;7,0;0,4;20,5;0,001;28 (TMSF);7,0;0,4;0,0;8,2;43;--
170,1;7,5;0,4;20,5;0,001;28 (TMSF);7,5;0,4;0,0;8,2;328;--
