Time, s;Throttle, %;Current, A;Battery voltage, V;Power consumption, A*h;CPU/MOSFET temperature, *C;Output power, %;Phase current, A;BEC voltage, V;Electrical power, W;Motor RPM;Errors
ESC RESET;--;--;--;SN: 0x220004cb;BL: 25;FW: 16;--;--;--;--;OK
2,8;0,0;0,3;24,8;0,000;27 (TMSF);0,0;0,3;0,0;7,4;0;THRT
4,0;0,0;0,2;24,8;0,000;27 (TMSF);0,0;0,2;0,0;5,0;0;THRT
5,2;0,0;0,3;24,8;0,000;27 (TMSF);0,0;0,3;0,0;7,4;0;THRT
6,3;0,0;0,1;24,8;0,000;27 (TMSF);0,0;0,1;0,0;2,5;0;--
7,4;0,0;0,2;24,8;0,000;27 (TMSF);0,0;0,2;0,0;5,0;0;--
16,3;0,0;0,2;24,8;0,001;27 (TMSF);0,0;0,2;0,0;5,0;0;--
19,7;0,5;0,2;24,8;0,001;27 (TMSF);0,0;0,2;0,0;5,0;0;--
20,0;2,5;0,2;24,8;0,001;27 (TMSF);0,0;0,2;0,0;5,0;0;--
20,5;5,0;0,4;24,8;0,001;27 (TMSF);5,0;0,4;0,0;9,9;43;--
20,7;6,0;0,4;24,8;0,001;27 (TMSF);6,0;0,4;0,0;9,9;314;--
20,9;7,0;0,3;24,8;0,001;27 (TMSF);7,0;0,3;0,0;7,4;380;--
21,1;7,5;0,3;24,8;0,001;27 (TMSF);7,5;0,3;0,0;7,4;435;--
21,4;7,5;0,3;24,8;0,001;27 (TMSF);7,5;0,3;0,0;7,4;450;--
21,6;7,5;0,3;24,8;0,001;27 (TMSF);7,5;0,3;0,0;7,4;455;--
21,8;7,5;0,3;24,8;0,001;27 (TMSF);7,5;0,3;0,0;7,4;456;--
22,0;7,5;0,2;24,8;0,001;27 (TMSF);7,5;0,2;0,0;5,0;457;--
22,2;7,5;0,3;24,8;0,001;27 (TMSF);7,5;0,3;0,0;7,4;457;--
22,4;7,5;0,3;24,8;0,001;27 (TMSF);7,5;0,3;0,0;7,4;457;--
22,7;7,5;0,3;24,8;0,001;27 (TMSF);7,5;0,3;0,0;7,4;455;--
22,9;7,5;0,3;24,8;0,001;27 (TMSF);7,5;0,3;0,0;7,4;456;--
23,1;7,5;0,2;24,8;0,001;27 (TMSF);7,5;0,2;0,0;5,0;462;--
23,3;10,5;0,4;24,8;0,001;27 (TMSF);10,5;0,4;0,0;9,9;508;--
23,5;12,5;0,7;24,8;0,001;27 (TMSF);12,5;0,7;0,0;17,4;658;--
23,8;13,0;0,7;24,8;0,001;27 (TMSF);13,0;0,7;0,0;17,4;749;--
24,0;12,5;0,5;24,8;0,001;27 (TMSF);12,5;0,5;0,0;12,4;769;--
24,2;12,5;0,5;24,8;0,001;27 (TMSF);12,5;0,5;0,0;12,4;769;--
24,4;12,5;0,4;24,8;0,001;27 (TMSF);12,5;0,4;0,0;9,9;770;--
24,6;12,5;0,4;24,8;0,001;27 (TMSF);12,5;0,4;0,0;9,9;769;--
24,8;12,5;0,5;24,8;0,001;27 (TMSF);12,5;0,5;0,0;12,4;769;--
25,1;12,5;0,4;24,8;0,001;27 (TMSF);12,5;0,4;0,0;9,9;769;--
25,3;12,5;0,4;24,8;0,001;27 (TMSF);12,5;0,4;0,0;9,9;769;--
25,5;12,5;0,4;24,8;0,001;27 (TMSF);12,5;0,4;0,0;9,9;768;--
25,7;12,5;0,4;24,8;0,001;27 (TMSF);12,5;0,4;0,0;9,9;769;--
25,9;13,0;0,4;24,8;0,001;27 (TMSF);13,0;0,4;0,0;9,9;774;--
26,2;13,5;0,5;24,8;0,001;27 (TMSF);13,5;0,5;0,0;12,4;788;--
26,4;16,0;0,7;24,8;0,001;27 (TMSF);16,0;0,7;0,0;17,4;866;--
26,6;18,0;1,0;24,8;0,002;27 (TMSF);17,5;1,0;0,0;24,8;970;--
26,8;18,0;1,1;24,8;0,002;27 (TMSF);18,0;1,1;0,0;27,3;1054;--
27,0;18,0;0,9;24,8;0,002;27 (TMSF);18,0;0,9;0,0;22,3;1069;--
27,2;18,0;0,9;24,8;0,002;27 (TMSF);18,0;0,9;0,0;22,3;1072;--
27,5;18,0;0,8;24,8;0,002;27 (TMSF);18,0;0,8;0,0;19,8;1075;--
27,7;18,0;0,8;24,8;0,002;27 (TMSF);18,0;0,8;0,0;19,8;1075;--
27,9;18,0;0,8;24,8;0,002;27 (TMSF);18,0;0,8;0,0;19,8;1072;--
28,1;18,0;0,8;24,8;0,002;27 (TMSF);18,0;0,8;0,0;19,8;1071;--
28,3;18,0;0,9;24,8;0,002;27 (TMSF);18,0;0,9;0,0;22,3;1072;--
28,6;18,0;1,0;24,8;0,002;27 (TMSF);18,0;1,0;0,0;24,8;1074;--
28,8;18,0;0,9;24,8;0,002;27 (TMSF);18,0;0,9;0,0;22,3;1072;--
