Time, s;Throttle, %;Current, A;Battery voltage, V;Power consumption, A*h;CPU/MOSFET temperature, *C;Output power, %;Phase current, A;BEC voltage, V;Electrical power, W;Motor RPM;Errors
20,1;0,0;0,3;0,2;0,001;27 (TMSF);0,0;0,3;0,0;0,1;0;THRT
21,2;0,0;0,2;0,2;0,001;27 (TMSF);0,0;0,2;0,0;0,0;0;THRT
22,3;0,0;0,2;0,2;0,001;27 (TMSF);0,0;0,2;0,0;0,0;0;THRT
23,9;0,0;0,3;0,2;0,001;27 (TMSF);0,0;0,3;0,0;0,1;0;THRT
25,1;0,0;0,2;0,2;0,001;27 (TMSF);0,0;0,2;0,0;0,0;0;THRT
30,2;0,0;0,2;0,2;0,002;27 (TMSF);0,0;0,2;0,0;0,0;0;THRT
32,3;0,0;0,1;0,2;0,002;27 (TMSF);0,0;0,1;0,0;0,0;0;THRT
33,4;0,0;0,2;0,2;0,002;27 (TMSF);0,0;0,2;0,0;0,0;0;THRT
37,4;0,0;0,1;0,2;0,002;27 (TMSF);0,0;0,1;0,0;0,0;0;THRT
38,5;0,0;0,2;0,2;0,002;27 (TMSF);0,0;0,2;0,0;0,0;0;THRT
ESC RESET;--;--;--;SN: 0x220004cb;BL: 25;FW: 16;--;--;--;--;OK
42,7;0,0;0,1;22,6;0,000;27 (TMSF);0,0;0,1;0,0;2,3;0;THRT
43,8;0,0;0,2;22,6;0,000;27 (TMSF);0,0;0,2;0,0;4,5;0;THRT
44,9;0,0;0,2;22,6;0,000;27 (TMSF);0,0;0,2;0,0;4,5;0;THRT
49,6;0,0;0,2;22,6;0,000;27 (TMSF);0,0;0,2;0,0;4,5;0;--
51,1;0,0;0,1;22,6;0,000;27 (TMSF);0,0;0,1;0,0;2,3;0;--
52,2;0,0;0,2;22,6;0,000;27 (TMSF);0,0;0,2;0,0;4,5;0;--
55,0;0,0;0,1;22,6;0,000;27 (TMSF);0,0;0,1;0,0;2,3;0;--
56,1;0,0;0,2;22,6;0,001;27 (TMSF);0,0;0,2;0,0;4,5;0;--
57,2;0,0;0,2;22,6;0,001;27 (TMSF);0,0;0,2;0,0;4,5;0;--
58,4;0,0;0,2;22,6;0,001;27 (TMSF);0,0;0,2;0,0;4,5;0;--
65,7;0,0;0,1;22,6;0,001;27 (TMSF);0,0;0,1;0,0;2,3;0;--
66,8;0,0;0,2;22,6;0,001;27 (TMSF);0,0;0,2;0,0;4,5;0;--
71,0;0,0;0,2;22,6;0,002;27 (TMSF);0,0;0,2;0,0;4,5;0;--
76,0;0,0;0,1;22,6;0,002;27 (TMSF);0,0;0,1;0,0;2,3;0;--
77,1;0,0;0,2;22,6;0,002;27 (TMSF);0,0;0,2;0,0;4,5;0;--
80,4;0,0;0,1;22,6;0,002;27 (TMSF);0,0;0,1;0,0;2,3;0;--
81,5;0,0;0,2;22,6;0,002;27 (TMSF);0,0;0,2;0,0;4,5;0;--
82,6;0,0;0,2;22,6;0,002;27 (TMSF);0,0;0,2;0,0;4,5;0;--
84,6;0,0;0,1;22,6;0,002;27 (TMSF);0,0;0,1;0,0;2,3;0;--
85,7;0,0;0,2;22,6;0,002;27 (TMSF);0,0;0,2;0,0;4,5;0;--
86,9;0,0;0,2;22,6;0,003;27 (TMSF);0,0;0,2;0,0;4,5;0;--
92,2;0,0;0,1;22,6;0,003;27 (TMSF);0,0;0,1;0,0;2,3;0;--
93,3;0,0;0,2;22,6;0,003;27 (TMSF);0,0;0,2;0,0;4,5;0;--
94,4;0,0;0,1;22,6;0,003;27 (TMSF);0,0;0,1;0,0;2,3;0;--
95,5;0,0;0,2;22,6;0,003;27 (TMSF);0,0;0,2;0,0;4,5;0;--
96,6;0,0;0,2;22,6;0,003;27 (TMSF);0,0;0,2;0,0;4,5;0;--
97,8;0,0;0,2;22,6;0,003;27 (TMSF);0,0;0,2;0,0;4,5;0;--
101,7;0,0;0,1;22,6;0,003;27 (TMSF);0,0;0,1;0,0;2,3;0;--
102,8;0,0;0,2;22,6;0,003;27 (TMSF);0,0;0,2;0,0;4,5;0;--
103,9;0,0;0,2;22,6;0,004;27 (TMSF);0,0;0,2;0,0;4,5;0;--
110,2;0,0;0,1;22,6;0,004;27 (TMSF);0,0;0,1;0,0;2,3;0;--
111,4;0,0;0,2;22,6;0,004;27 (TMSF);0,0;0,2;0,0;4,5;0;--
112,5;0,0;0,1;22,6;0,004;27 (TMSF);0,0;0,1;0,0;2,3;0;--
113,6;0,0;0,1;22,6;0,004;27 (TMSF);0,0;0,1;0,0;2,3;0;--
114,7;0,0;0,2;22,6;0,004;27 (TMSF);0,0;0,2;0,0;4,5;0;--
115,8;0,0;0,1;22,6;0,004;27 (TMSF);0,0;0,1;0,0;2,3;0;--
117,0;0,0;0,2;22,6;0,004;27 (TMSF);0,0;0,2;0,0;4,5;0;--
118,1;0,0;0,2;22,6;0,004;27 (TMSF);0,0;0,2;0,0;4,5;0;--
119,2;0,0;0,2;22,6;0,005;27 (TMSF);0,0;0,2;0,0;4,5;0;--
120,5;0,0;0,1;22,6;0,005;27 (TMSF);0,0;0,1;0,0;2,3;0;--
121,6;0,0;0,2;22,6;0,005;27 (TMSF);0,0;0,2;0,0;4,5;0;--
122,7;0,0;0,2;22,6;0,005;27 (TMSF);0,0;0,2;0,0;4,5;0;--
123,9;0,0;0,1;22,6;0,005;27 (TMSF);0,0;0,1;0,0;2,3;0;--
125,0;0,0;0,1;22,6;0,005;27 (TMSF);0,0;0,1;0,0;2,3;0;--
126,1;0,0;0,2;22,6;0,005;27 (TMSF);0,0;0,2;0,0;4,5;0;--
127,2;0,0;0,2;22,6;0,005;27 (TMSF);0,0;0,2;0,0;4,5;0;--
128,3;0,0;0,2;22,6;0,005;27 (TMSF);0,0;0,2;0,0;4,5;0;--
129,5;0,0;0,2;22,6;0,005;27 (TMSF);0,0;0,2;0,0;4,5;0;--
135,2;0,0;0,2;22,6;0,006;27 (TMSF);0,0;0,2;0,0;4,5;0;--
137,9;0,0;0,1;22,6;0,006;27 (TMSF);0,0;0,1;0,0;2,3;0;--
