Time, s;Throttle, %;Current, A;Battery voltage, V;Power consumption, A*h;CPU/MOSFET temperature, *C;Output power, %;Phase current, A;BEC voltage, V;Electrical power, W;Motor RPM;Errors
133,4;0,0;0,3;0,2;0,010;27 (TMSF);0,0;0,3;0,0;0,1;0;THRT
134,5;0,0;0,3;0,2;0,010;27 (TMSF);0,0;0,3;0,0;0,1;0;THRT
135,6;0,0;0,2;0,2;0,010;27 (TMSF);0,0;0,2;0,0;0,0;0;THRT
136,8;0,0;0,3;0,2;0,010;27 (TMSF);0,0;0,3;0,0;0,1;0;THRT
137,9;0,0;0,3;0,2;0,010;27 (TMSF);0,0;0,3;0,0;0,1;0;THRT
139,1;0,0;0,2;0,2;0,010;27 (TMSF);0,0;0,2;0,0;0,0;0;THRT
140,2;0,0;0,3;0,2;0,010;27 (TMSF);0,0;0,3;0,0;0,1;0;THRT
141,3;0,0;0,3;0,2;0,010;27 (TMSF);0,0;0,3;0,0;0,1;0;THRT
142,4;0,0;0,3;0,2;0,011;27 (TMSF);0,0;0,3;0,0;0,1;0;THRT
143,6;0,0;0,2;0,2;0,011;27 (TMSF);0,0;0,2;0,0;0,0;0;THRT
144,7;0,0;0,3;0,2;0,011;27 (TMSF);0,0;0,3;0,0;0,1;0;THRT
147,7;0,0;0,2;0,2;0,011;27 (TMSF);0,0;0,2;0,0;0,0;0;THRT
148,8;0,0;0,2;0,2;0,011;27 (TMSF);0,0;0,2;0,0;0,0;0;THRT
149,9;0,0;0,2;0,2;0,011;27 (TMSF);0,0;0,2;0,0;0,0;0;THRT
151,1;0,0;0,3;0,2;0,011;27 (TMSF);0,0;0,3;0,0;0,1;0;THRT
152,2;0,0;0,3;0,2;0,011;27 (TMSF);0,0;0,3;0,0;0,1;0;THRT
153,3;0,0;0,3;0,2;0,011;27 (TMSF);0,0;0,3;0,0;0,1;0;THRT
154,4;0,0;0,2;0,2;0,012;27 (TMSF);0,0;0,2;0,0;0,0;0;THRT
155,5;0,0;0,3;0,2;0,012;27 (TMSF);0,0;0,3;0,0;0,1;0;THRT
159,5;0,0;0,2;0,2;0,012;27 (TMSF);0,0;0,2;0,0;0,0;0;THRT
160,7;0,0;0,3;0,2;0,012;27 (TMSF);0,0;0,3;0,0;0,1;0;THRT
161,8;0,0;0,2;0,2;0,012;27 (TMSF);0,0;0,2;0,0;0,0;0;THRT
162,9;0,0;0,2;0,2;0,012;27 (TMSF);0,0;0,2;0,0;0,0;0;THRT
